Points_0,Points_1,Points_2,qr
0.631,0,0.05,-43301.3
0.632,0,0.05,-43305.9
0.633,0,0.05,-43310.5
0.634,0,0.05,-43316
0.635,0,0.05,-43322
0.636,0,0.05,-43328
0.637,0,0.05,-43333.9
0.638,0,0.05,-43339.9
0.639,0,0.05,-43345.9
0.64,0,0.05,-43351.9
0.641,0,0.05,-43357.9
0.642,0,0.05,-43363.8
0.643,0,0.05,-43369.8
0.644,0,0.05,-43375.8
0.645,0,0.05,-43381.8
0.646,0,0.05,-43387.8
0.647,0,0.05,-43393.8
0.648,0,0.05,-43399.7
0.649,0,0.05,-43405.7
0.65,0,0.05,-43411.7
0.651,0,0.05,-43417.7
0.652,0,0.05,-43423.7
0.653,0,0.05,-43429.6
0.654,0,0.05,-43435.6
0.655,0,0.05,-43441.6
0.656,0,0.05,-43447.6
0.657,0,0.05,-43453.6
0.658,0,0.05,-43459.6
0.659,0,0.05,-43465.5
0.66,0,0.05,-43471.5
0.661,0,0.05,-43477.5
0.662,0,0.05,-43483.5
0.663,0,0.05,-43489.5
0.664,0,0.05,-43495.4
0.665,0,0.05,-43501.4
0.666,0,0.05,-43507.4
0.667,0,0.05,-43513.9
0.668,0,0.05,-43521.4
0.669,0,0.05,-43528.9
0.67,0,0.05,-43536.4
0.671,0,0.05,-43543.9
0.672,0,0.05,-43551.3
0.673,0,0.05,-43558.8
0.674,0,0.05,-43566.3
0.675,0,0.05,-43573.8
0.676,0,0.05,-43581.3
0.677,0,0.05,-43588.8
0.678,0,0.05,-43596.3
0.679,0,0.05,-43603.8
0.68,0,0.05,-43611.3
0.681,0,0.05,-43618.7
0.682,0,0.05,-43626.2
0.683,0,0.05,-43633.7
0.684,0,0.05,-43641.2
0.685,0,0.05,-43648.7
0.686,0,0.05,-43656.2
0.687,0,0.05,-43663.7
0.688,0,0.05,-43671.2
0.689,0,0.05,-43678.7
0.69,0,0.05,-43686.2
0.691,0,0.05,-43693.6
0.692,0,0.05,-43701.1
0.693,0,0.05,-43708.6
0.694,0,0.05,-43716.1
0.695,0,0.05,-43723.6
0.696,0,0.05,-43731.1
0.697,0,0.05,-43738.6
0.698,0,0.05,-43746.1
0.699,0,0.05,-43753.6
0.7,0,0.05,-43761
0.701,0,0.05,-43770.2
0.702,0,0.05,-43779.3
0.703,0,0.05,-43788.4
0.704,0,0.05,-43797.5
0.705,0,0.05,-43806.7
0.706,0,0.05,-43815.8
0.707,0,0.05,-43824.9
0.708,0,0.05,-43834
0.709,0,0.05,-43843.2
0.71,0,0.05,-43852.3
0.711,0,0.05,-43861.4
0.712,0,0.05,-43870.5
0.713,0,0.05,-43879.7
0.714,0,0.05,-43888.8
0.715,0,0.05,-43897.9
0.716,0,0.05,-43907
0.717,0,0.05,-43916.2
0.718,0,0.05,-43925.3
0.719,0,0.05,-43934.4
0.72,0,0.05,-43943.5
0.721,0,0.05,-43952.7
0.722,0,0.05,-43961.8
0.723,0,0.05,-43970.9
0.724,0,0.05,-43980
0.725,0,0.05,-43989.2
0.726,0,0.05,-43998.3
0.727,0,0.05,-44007.4
0.728,0,0.05,-44016.5
0.729,0,0.05,-44025.7
0.73,0,0.05,-44034.8
0.731,0,0.05,-44043.9
0.732,0,0.05,-44053
0.733,0,0.05,-44062.2
0.734,0,0.05,-44072.5
0.735,0,0.05,-44083.4
0.736,0,0.05,-44094.3
0.737,0,0.05,-44105.3
0.738,0,0.05,-44116.2
0.739,0,0.05,-44127.1
0.74,0,0.05,-44138.1
0.741,0,0.05,-44149
0.742,0,0.05,-44159.9
0.743,0,0.05,-44170.9
0.744,0,0.05,-44181.8
0.745,0,0.05,-44192.7
0.746,0,0.05,-44203.7
0.747,0,0.05,-44214.6
0.748,0,0.05,-44225.5
0.749,0,0.05,-44236.4
0.75,0,0.05,-44247.4
0.751,0,0.05,-44258.3
0.752,0,0.05,-44269.2
0.753,0,0.05,-44280.2
0.754,0,0.05,-44291.1
0.755,0,0.05,-44302
0.756,0,0.05,-44313
0.757,0,0.05,-44323.9
0.758,0,0.05,-44334.8
0.759,0,0.05,-44345.8
0.76,0,0.05,-44356.7
0.761,0,0.05,-44367.6
0.762,0,0.05,-44378.5
0.763,0,0.05,-44389.5
0.764,0,0.05,-44400.4
0.765,0,0.05,-44411.3
0.766,0,0.05,-44422.3
0.767,0,0.05,-44433.9
0.768,0,0.05,-44446.8
0.769,0,0.05,-44459.8
0.77,0,0.05,-44472.8
0.771,0,0.05,-44485.8
0.772,0,0.05,-44498.7
0.773,0,0.05,-44511.7
0.774,0,0.05,-44524.7
0.775,0,0.05,-44537.6
0.776,0,0.05,-44550.6
0.777,0,0.05,-44563.6
0.778,0,0.05,-44576.6
0.779,0,0.05,-44589.5
0.78,0,0.05,-44602.5
0.781,0,0.05,-44615.5
0.782,0,0.05,-44628.4
0.783,0,0.05,-44641.4
0.784,0,0.05,-44654.4
0.785,0,0.05,-44667.3
0.786,0,0.05,-44680.3
0.787,0,0.05,-44693.3
0.788,0,0.05,-44706.3
0.789,0,0.05,-44719.2
0.79,0,0.05,-44732.2
0.791,0,0.05,-44745.2
0.792,0,0.05,-44758.1
0.793,0,0.05,-44771.1
0.794,0,0.05,-44784.1
0.795,0,0.05,-44797
0.796,0,0.05,-44810
0.797,0,0.05,-44823
0.798,0,0.05,-44836
0.799,0,0.05,-44848.9
0.8,0,0.05,-44861.9
0.801,0,0.05,-44877.3
0.802,0,0.05,-44892.6
0.803,0,0.05,-44908
0.804,0,0.05,-44923.3
0.805,0,0.05,-44938.7
0.806,0,0.05,-44954
0.807,0,0.05,-44969.4
0.808,0,0.05,-44984.8
0.809,0,0.05,-45000.1
0.81,0,0.05,-45015.5
0.811,0,0.05,-45030.8
0.812,0,0.05,-45046.2
0.813,0,0.05,-45061.5
0.814,0,0.05,-45076.9
0.815,0,0.05,-45092.3
0.816,0,0.05,-45107.6
0.817,0,0.05,-45123
0.818,0,0.05,-45138.3
0.819,0,0.05,-45153.7
0.82,0,0.05,-45169
0.821,0,0.05,-45184.4
0.822,0,0.05,-45199.8
0.823,0,0.05,-45215.1
0.824,0,0.05,-45230.5
0.825,0,0.05,-45245.8
0.826,0,0.05,-45261.2
0.827,0,0.05,-45276.5
0.828,0,0.05,-45291.9
0.829,0,0.05,-45307.2
0.83,0,0.05,-45322.6
0.831,0,0.05,-45338
0.832,0,0.05,-45353.3
0.833,0,0.05,-45368.7
0.834,0,0.05,-45385.9
0.835,0,0.05,-45404.2
0.836,0,0.05,-45422.4
0.837,0,0.05,-45440.6
0.838,0,0.05,-45458.9
0.839,0,0.05,-45477.1
0.84,0,0.05,-45495.3
0.841,0,0.05,-45513.6
0.842,0,0.05,-45531.8
0.843,0,0.05,-45550
0.844,0,0.05,-45568.2
0.845,0,0.05,-45586.5
0.846,0,0.05,-45604.7
0.847,0,0.05,-45622.9
0.848,0,0.05,-45641.2
0.849,0,0.05,-45659.4
0.85,0,0.05,-45677.6
0.851,0,0.05,-45695.9
0.852,0,0.05,-45714.1
0.853,0,0.05,-45732.3
0.854,0,0.05,-45750.5
0.855,0,0.05,-45768.8
0.856,0,0.05,-45787
0.857,0,0.05,-45805.2
0.858,0,0.05,-45823.5
0.859,0,0.05,-45841.7
0.86,0,0.05,-45859.9
0.861,0,0.05,-45878.1
0.862,0,0.05,-45896.4
0.863,0,0.05,-45914.6
0.864,0,0.05,-45932.8
0.865,0,0.05,-45951.1
0.866,0,0.05,-45969.3
0.867,0,0.05,-45988.8
0.868,0,0.05,-46010.8
0.869,0,0.05,-46032.8
0.87,0,0.05,-46054.9
0.871,0,0.05,-46076.9
0.872,0,0.05,-46098.9
0.873,0,0.05,-46120.9
0.874,0,0.05,-46143
0.875,0,0.05,-46165
0.876,0,0.05,-46187
0.877,0,0.05,-46209
0.878,0,0.05,-46231
0.879,0,0.05,-46253.1
0.88,0,0.05,-46275.1
