Points_0,Points_1,Points_2,qr
1,0.615,0.05,11942.2
1,0.616,0.05,11920.3
1,0.617,0.05,11898.4
1,0.618,0.05,11876.5
1,0.619,0.05,11854.6
1,0.62,0.05,11832.7
1,0.621,0.05,11810.8
1,0.622,0.05,11788.9
1,0.623,0.05,11766.9
1,0.624,0.05,11745
1,0.625,0.05,11723.1
1,0.626,0.05,11701.2
1,0.627,0.05,11679.3
1,0.628,0.05,11657.4
1,0.629,0.05,11635.5
1,0.63,0.05,11613.5
1,0.631,0.05,11591.6
1,0.632,0.05,11569.7
1,0.633,0.05,11547.8
1,0.634,0.05,11526.5
1,0.635,0.05,11505.6
1,0.636,0.05,11484.7
1,0.637,0.05,11463.8
1,0.638,0.05,11442.8
1,0.639,0.05,11421.9
1,0.64,0.05,11401
1,0.641,0.05,11380
1,0.642,0.05,11359.1
1,0.643,0.05,11338.2
1,0.644,0.05,11317.3
1,0.645,0.05,11296.3
1,0.646,0.05,11275.4
1,0.647,0.05,11254.5
1,0.648,0.05,11233.5
1,0.649,0.05,11212.6
1,0.65,0.05,11191.7
1,0.651,0.05,11170.7
1,0.652,0.05,11149.8
1,0.653,0.05,11128.9
1,0.654,0.05,11108
1,0.655,0.05,11087
1,0.656,0.05,11066.1
1,0.657,0.05,11045.2
1,0.658,0.05,11024.2
1,0.659,0.05,11003.3
1,0.66,0.05,10982.4
1,0.661,0.05,10961.5
1,0.662,0.05,10940.5
1,0.663,0.05,10919.6
1,0.664,0.05,10898.7
1,0.665,0.05,10877.7
1,0.666,0.05,10856.8
1,0.667,0.05,10836.2
1,0.668,0.05,10816.2
1,0.669,0.05,10796.1
1,0.67,0.05,10776.1
1,0.671,0.05,10756.1
1,0.672,0.05,10736.1
1,0.673,0.05,10716
1,0.674,0.05,10696
1,0.675,0.05,10676
1,0.676,0.05,10656
1,0.677,0.05,10635.9
1,0.678,0.05,10615.9
1,0.679,0.05,10595.9
1,0.68,0.05,10575.9
1,0.681,0.05,10555.9
1,0.682,0.05,10535.8
1,0.683,0.05,10515.8
1,0.684,0.05,10495.8
1,0.685,0.05,10475.8
1,0.686,0.05,10455.7
1,0.687,0.05,10435.7
1,0.688,0.05,10415.7
1,0.689,0.05,10395.7
1,0.69,0.05,10375.6
1,0.691,0.05,10355.6
1,0.692,0.05,10335.6
1,0.693,0.05,10315.6
1,0.694,0.05,10295.6
1,0.695,0.05,10275.5
1,0.696,0.05,10255.5
1,0.697,0.05,10235.5
1,0.698,0.05,10215.5
1,0.699,0.05,10195.4
1,0.7,0.05,10175.4
1,0.701,0.05,10156.2
1,0.702,0.05,10137
1,0.703,0.05,10117.8
