Points_0,Points_1,Points_2,qr
0.553,1,0.05,13344.4
0.554,1,0.05,13342.5
0.555,1,0.05,13340.5
0.556,1,0.05,13338.5
0.557,1,0.05,13336.6
0.558,1,0.05,13334.6
0.559,1,0.05,13332.6
0.56,1,0.05,13330.6
0.561,1,0.05,13328.7
0.562,1,0.05,13326.7
0.563,1,0.05,13324.7
0.564,1,0.05,13322.8
0.565,1,0.05,13320.8
0.566,1,0.05,13318.8
0.567,1,0.05,13316.4
0.568,1,0.05,13313.1
0.569,1,0.05,13309.9
0.57,1,0.05,13306.6
0.571,1,0.05,13303.3
0.572,1,0.05,13300
0.573,1,0.05,13296.8
0.574,1,0.05,13293.5
0.575,1,0.05,13290.2
0.576,1,0.05,13286.9
0.577,1,0.05,13283.6
0.578,1,0.05,13280.4
0.579,1,0.05,13277.1
0.58,1,0.05,13273.8
0.581,1,0.05,13270.5
0.582,1,0.05,13267.3
0.583,1,0.05,13264
0.584,1,0.05,13260.7
0.585,1,0.05,13257.4
0.586,1,0.05,13254.2
0.587,1,0.05,13250.9
0.588,1,0.05,13247.6
0.589,1,0.05,13244.3
0.59,1,0.05,13241.1
0.591,1,0.05,13237.8
0.592,1,0.05,13234.5
0.593,1,0.05,13231.2
0.594,1,0.05,13228
0.595,1,0.05,13224.7
0.596,1,0.05,13221.4
0.597,1,0.05,13218.1
0.598,1,0.05,13214.9
0.599,1,0.05,13211.6
0.6,1,0.05,13208.3
0.601,1,0.05,13203.7
0.602,1,0.05,13199.2
0.603,1,0.05,13194.6
0.604,1,0.05,13190.1
0.605,1,0.05,13185.5
0.606,1,0.05,13180.9
0.607,1,0.05,13176.4
0.608,1,0.05,13171.8
0.609,1,0.05,13167.2
0.61,1,0.05,13162.7
0.611,1,0.05,13158.1
0.612,1,0.05,13153.6
0.613,1,0.05,13149
0.614,1,0.05,13144.4
0.615,1,0.05,13139.9
0.616,1,0.05,13135.3
0.617,1,0.05,13130.8
0.618,1,0.05,13126.2
0.619,1,0.05,13121.6
0.62,1,0.05,13117.1
0.621,1,0.05,13112.5
0.622,1,0.05,13107.9
0.623,1,0.05,13103.4
0.624,1,0.05,13098.8
0.625,1,0.05,13094.3
0.626,1,0.05,13089.7
0.627,1,0.05,13085.1
0.628,1,0.05,13080.6
0.629,1,0.05,13076
0.63,1,0.05,13071.5
0.631,1,0.05,13066.9
0.632,1,0.05,13062.3
0.633,1,0.05,13057.8
0.634,1,0.05,13052.4
0.635,1,0.05,13046.5
0.636,1,0.05,13040.7
0.637,1,0.05,13034.9
0.638,1,0.05,13029
0.639,1,0.05,13023.2
0.64,1,0.05,13017.4
0.641,1,0.05,13011.5
0.642,1,0.05,13005.7
0.643,1,0.05,12999.9
0.644,1,0.05,12994
0.645,1,0.05,12988.2
0.646,1,0.05,12982.4
0.647,1,0.05,12976.5
0.648,1,0.05,12970.7
0.649,1,0.05,12964.9
0.65,1,0.05,12959
0.651,1,0.05,12953.2
0.652,1,0.05,12947.4
0.653,1,0.05,12941.5
0.654,1,0.05,12935.7
0.655,1,0.05,12929.9
0.656,1,0.05,12924
0.657,1,0.05,12918.2
0.658,1,0.05,12912.4
0.659,1,0.05,12906.5
0.66,1,0.05,12900.7
0.661,1,0.05,12894.9
0.662,1,0.05,12889
0.663,1,0.05,12883.2
0.664,1,0.05,12877.4
0.665,1,0.05,12871.5
0.666,1,0.05,12865.7
0.667,1,0.05,12859.4
0.668,1,0.05,12852.3
0.669,1,0.05,12845.2
0.67,1,0.05,12838.1
0.671,1,0.05,12831.1
0.672,1,0.05,12824
0.673,1,0.05,12816.9
0.674,1,0.05,12809.8
0.675,1,0.05,12802.7
0.676,1,0.05,12795.6
0.677,1,0.05,12788.5
0.678,1,0.05,12781.4
0.679,1,0.05,12774.3
0.68,1,0.05,12767.2
0.681,1,0.05,12760.1
0.682,1,0.05,12753
0.683,1,0.05,12745.9
0.684,1,0.05,12738.8
0.685,1,0.05,12731.7
0.686,1,0.05,12724.6
0.687,1,0.05,12717.5
0.688,1,0.05,12710.4
0.689,1,0.05,12703.3
0.69,1,0.05,12696.2
0.691,1,0.05,12689.2
0.692,1,0.05,12682.1
0.693,1,0.05,12675
0.694,1,0.05,12667.9
0.695,1,0.05,12660.8
0.696,1,0.05,12653.7
0.697,1,0.05,12646.6
0.698,1,0.05,12639.5
0.699,1,0.05,12632.4
0.7,1,0.05,12625.3
0.701,1,0.05,12617
0.702,1,0.05,12608.7
0.703,1,0.05,12600.4
0.704,1,0.05,12592.1
0.705,1,0.05,12583.8
0.706,1,0.05,12575.4
0.707,1,0.05,12567.1
0.708,1,0.05,12558.8
0.709,1,0.05,12550.5
0.71,1,0.05,12542.2
0.711,1,0.05,12533.9
0.712,1,0.05,12525.6
0.713,1,0.05,12517.3
0.714,1,0.05,12509
0.715,1,0.05,12500.7
0.716,1,0.05,12492.4
0.717,1,0.05,12484.1
0.718,1,0.05,12475.7
0.719,1,0.05,12467.4
0.72,1,0.05,12459.1
0.721,1,0.05,12450.8
0.722,1,0.05,12442.5
0.723,1,0.05,12434.2
0.724,1,0.05,12425.9
0.725,1,0.05,12417.6
0.726,1,0.05,12409.3
0.727,1,0.05,12401
0.728,1,0.05,12392.7
0.729,1,0.05,12384.4
0.73,1,0.05,12376
0.731,1,0.05,12367.7
0.732,1,0.05,12359.4
0.733,1,0.05,12351.1
0.734,1,0.05,12342.1
0.735,1,0.05,12332.6
0.736,1,0.05,12323.2
0.737,1,0.05,12313.7
0.738,1,0.05,12304.3
0.739,1,0.05,12294.8
0.74,1,0.05,12285.4
0.741,1,0.05,12276
0.742,1,0.05,12266.5
