Points_0,Points_1,Points_2,Points_Magnitude,qem,qin,qr
0.296,0,0.05,0.300193,-3544.01,23923.4,20379.4
0.297,0,0.05,0.301179,-3544.01,23934.7,20390.7
0.298,0,0.05,0.302166,-3544.01,23946,20402
0.299,0,0.05,0.303152,-3544.01,23957.3,20413.3
0.3,0,0.05,0.304138,-3544.01,23968.6,20424.6
0.301,0,0.05,0.305125,-3544.01,23976.6,20432.6
0.302,0,0.05,0.306111,-3544.01,23984.6,20440.6
0.303,0,0.05,0.307098,-3544.01,23992.6,20448.6
0.304,0,0.05,0.308084,-3544.01,24000.6,20456.6
0.305,0,0.05,0.309071,-3544.01,24008.6,20464.6
0.306,0,0.05,0.310058,-3544.01,24016.6,20472.6
0.307,0,0.05,0.311045,-3544.01,24024.6,20480.6
0.308,0,0.05,0.312032,-3544.01,24032.6,20488.6
0.309,0,0.05,0.313019,-3544.01,24040.6,20496.6
0.31,0,0.05,0.314006,-3544.01,24048.6,20504.6
0.311,0,0.05,0.314994,-3544.01,24056.6,20512.6
0.312,0,0.05,0.315981,-3544.01,24064.6,20520.6
0.313,0,0.05,0.316968,-3544.01,24072.7,20528.7
0.314,0,0.05,0.317956,-3544.01,24080.7,20536.7
0.315,0,0.05,0.318944,-3544.01,24088.7,20544.7
0.316,0,0.05,0.319931,-3544.01,24096.7,20552.7
0.317,0,0.05,0.320919,-3544.01,24104.7,20560.7
0.318,0,0.05,0.321907,-3544.01,24112.7,20568.7
0.319,0,0.05,0.322895,-3544.01,24120.7,20576.7
0.32,0,0.05,0.323883,-3544.01,24128.7,20584.7
0.321,0,0.05,0.324871,-3544.01,24136.7,20592.7
0.322,0,0.05,0.325859,-3544.01,24144.7,20600.7
0.323,0,0.05,0.326847,-3544.01,24152.7,20608.7
0.324,0,0.05,0.327835,-3544.01,24160.7,20616.7
0.325,0,0.05,0.328824,-3544.01,24168.7,20624.7
0.326,0,0.05,0.329812,-3544.01,24176.7,20632.7
0.327,0,0.05,0.330801,-3544.01,24184.7,20640.7
0.328,0,0.05,0.331789,-3544.01,24192.7,20648.7
0.329,0,0.05,0.332778,-3544.01,24200.7,20656.7
0.33,0,0.05,0.333766,-3544.01,24208.7,20664.7
0.331,0,0.05,0.334755,-3544.01,24216.7,20672.7
0.332,0,0.05,0.335744,-3544.01,24224.7,20680.7
0.333,0,0.05,0.336733,-3544.01,24232.7,20688.7
0.334,0,0.05,0.337722,-3544.01,24240.7,20696.7
0.335,0,0.05,0.338711,-3544.01,24248.7,20704.7
0.336,0,0.05,0.3397,-3544.01,24256.7,20712.7
0.337,0,0.05,0.340689,-3544.01,24264.8,20720.8
0.338,0,0.05,0.341678,-3544.01,24272.8,20728.8
0.339,0,0.05,0.342667,-3544.01,24280.8,20736.8
0.34,0,0.05,0.343657,-3544.01,24288.8,20744.8
0.341,0,0.05,0.344646,-3544.01,24296.8,20752.8
0.342,0,0.05,0.345636,-3544.01,24304.8,20760.8
0.343,0,0.05,0.346625,-3544.01,24312.8,20768.8
0.344,0,0.05,0.347615,-3544.01,24320.8,20776.8
0.345,0,0.05,0.348604,-3544.01,24328.8,20784.8
0.346,0,0.05,0.349594,-3544.01,24336.8,20792.8
0.347,0,0.05,0.350584,-3544.01,24344.8,20800.8
0.348,0,0.05,0.351574,-3544.01,24352.8,20808.8
0.349,0,0.05,0.352563,-3544.01,24360.8,20816.8
0.35,0,0.05,0.353553,-3544.01,24368.8,20824.8
0.351,0,0.05,0.354543,-3544.01,24374.1,20830.1
0.352,0,0.05,0.355533,-3544.01,24379.5,20835.5
0.353,0,0.05,0.356523,-3544.01,24384.8,20840.8
0.354,0,0.05,0.357514,-3544.01,24390.2,20846.2
0.355,0,0.05,0.358504,-3544.01,24395.5,20851.5
0.356,0,0.05,0.359494,-3544.01,24400.9,20856.9
0.357,0,0.05,0.360484,-3544.01,24406.2,20862.2
0.358,0,0.05,0.361475,-3544.01,24411.6,20867.6
0.359,0,0.05,0.362465,-3544.01,24416.9,20872.9
0.36,0,0.05,0.363456,-3544.01,24422.3,20878.3
0.361,0,0.05,0.364446,-3544.01,24427.6,20883.6
0.362,0,0.05,0.365437,-3544.01,24433,20889
0.363,0,0.05,0.366427,-3544.01,24438.3,20894.3
0.364,0,0.05,0.367418,-3544.01,24443.7,20899.7
0.365,0,0.05,0.368409,-3544.01,24449,20905
0.366,0,0.05,0.3694,-3544.01,24454.4,20910.4
0.367,0,0.05,0.37039,-3544.01,24459.7,20915.7
0.368,0,0.05,0.371381,-3544.01,24465,20921
0.369,0,0.05,0.372372,-3544.01,24470.4,20926.4
0.37,0,0.05,0.373363,-3544.01,24475.7,20931.7
0.371,0,0.05,0.374354,-3544.01,24481.1,20937.1
0.372,0,0.05,0.375345,-3544.01,24486.4,20942.4
0.373,0,0.05,0.376336,-3544.01,24491.8,20947.8
0.374,0,0.05,0.377327,-3544.01,24497.1,20953.1
0.375,0,0.05,0.378319,-3544.01,24502.5,20958.5
0.376,0,0.05,0.37931,-3544.01,24507.8,20963.8
0.377,0,0.05,0.380301,-3544.01,24513.2,20969.2
0.378,0,0.05,0.381293,-3544.01,24518.5,20974.5
0.379,0,0.05,0.382284,-3544.01,24523.9,20979.9
0.38,0,0.05,0.383275,-3544.01,24529.2,20985.2
0.381,0,0.05,0.384267,-3544.01,24534.6,20990.6
0.382,0,0.05,0.385258,-3544.01,24539.9,20995.9
0.383,0,0.05,0.38625,-3544.01,24545.2,21001.2
0.384,0,0.05,0.387242,-3544.01,24550.6,21006.6
